% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.79231789(0.00000354)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  5.4800598  0.0002826
 0.530  4.5539622  0.0002144
 0.550  3.7978551  0.0001715
 0.570  3.1795809  0.0001387
 0.590  2.6728187  0.0001190
 0.610  2.2565963  0.0001055
 0.630  1.9141976  0.0000948
 0.650  1.6317644  0.0000896
 0.670  1.3982381  0.0000833
 0.690  1.2047763  0.0000770
 0.710  1.0441179  0.0000732
 0.730  0.9104294  0.0000697
 0.750  0.7988765  0.0000651
 0.770  0.7058350  0.0000617
 0.790  0.6278269  0.0000597
 0.810  0.5625894  0.0000565
 0.830  0.5078147  0.0000538
 0.850  0.4619328  0.0000513
 0.870  0.4235012  0.0000489
 0.890  0.3915101  0.0000487
 0.910  0.3649083  0.0000461
 0.930  0.3430711  0.0000450
 0.950  0.3253128  0.0000445
 0.970  0.3112559  0.0000438
 0.990  0.3005450  0.0000424
 1.010  0.2928712  0.0000416
 1.030  0.2880786  0.0000422
 1.050  0.2861012  0.0000412
 1.070  0.2868629  0.0000423
 1.090  0.2904599  0.0000423
 1.110  0.2970561  0.0000425
 1.130  0.3068012  0.0000436
 1.150  0.3200561  0.0000438
 1.170  0.3371443  0.0000454
 1.190  0.3586386  0.0000466
 1.210  0.3851827  0.0000478
 1.230  0.4175222  0.0000509
 1.250  0.4565966  0.0000523
 1.270  0.5032996  0.0000560
 1.290  0.5588581  0.0000573
 1.310  0.6242467  0.0000635
 1.330  0.7004992  0.0000672
 1.350  0.7879418  0.0000725
 1.370  0.8860984  0.0000795
 1.390  0.9918456  0.0000854
 1.410  1.0988442  0.0000923
 1.430  1.1996370  0.0000987
 1.450  1.2878566  0.0000999
 1.470  1.3591718  0.0001015
 1.490  1.4115229  0.0001022
 1.510  1.4400257  0.0000995
 1.530  1.4327505  0.0000966
 1.550  1.3973827  0.0000931
 1.570  1.3442234  0.0000899
 1.590  1.2808309  0.0000836
 1.610  1.2122543  0.0000820
 1.630  1.1422916  0.0000795
 1.650  1.0735304  0.0000764
 1.670  1.0075286  0.0000756
 1.690  0.9454781  0.0000717
 1.710  0.8878967  0.0000698
 1.730  0.8350885  0.0000673
 1.750  0.7871908  0.0000663
 1.770  0.7440460  0.0000654
 1.790  0.7055950  0.0000637
 1.810  0.6716749  0.0000617
 1.830  0.6419743  0.0000615
 1.850  0.6161465  0.0000609
 1.870  0.5942231  0.0000597
 1.890  0.5758507  0.0000574
 1.910  0.5608241  0.0000581
 1.930  0.5491227  0.0000568
 1.950  0.5404253  0.0000558
 1.970  0.5347624  0.0000567
 1.990  0.5320411  0.0000561
 2.010  0.5321773  0.0000559
 2.030  0.5351528  0.0000557
 2.050  0.5409311  0.0000563
 2.070  0.5494603  0.0000570
 2.090  0.5609753  0.0000572
 2.110  0.5752401  0.0000580
 2.130  0.5924286  0.0000582
 2.150  0.6124491  0.0000602
 2.170  0.6352788  0.0000610
 2.190  0.6608193  0.0000627
 2.210  0.6888235  0.0000662
 2.230  0.7191021  0.0000669
 2.250  0.7511793  0.0000688
 2.270  0.7845891  0.0000722
 2.290  0.8186155  0.0000718
 2.310  0.8522630  0.0000751
 2.330  0.8849373  0.0000752
 2.350  0.9155110  0.0000778
 2.370  0.9431776  0.0000788
 2.390  0.9670533  0.0000795
 2.410  0.9862464  0.0000795
 2.430  1.0004767  0.0000808
